127.0.0.1 - - [02/Oct/2023:20:28:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:55:29 +0900] "GET /portfolio/admin/view/admin_ship.jsp HTTP/1.1" 200 6688
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:55:29 +0900] "GET /portfolio/admin/js/adm_btn.js?v=20230904 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:55:42 +0900] "POST /portfolio/admin/view/idck.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:55:45 +0900] "POST /portfolio/admin/view/idck.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:56:08 +0900] "POST /portfolio/admin/view/admin_join.do HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [02/Oct/2023:20:56:09 +0900] "GET /portfolio/admin/view/index.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:20:50 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:24:11 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:28:37 +0900] "GET /portfolio/admin/view/index.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:28:40 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:30:28 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:30:32 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:43:36 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:43:41 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:45:19 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:45:42 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:45:44 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:22:46:07 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:20:06 +0900] "GET /portfolio/admin/view/index.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:20:06 +0900] "GET /portfolio/admin/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:20:11 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 500 11210
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:20:16 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 500 11210
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:20:51 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:20:54 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:20:57 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:21:21 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:27:57 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:28:04 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:28:09 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:30:42 +0900] "GET /portfolio/admin/view/admin_ship.jsp HTTP/1.1" 200 6688
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:30:43 +0900] "GET /portfolio/admin/js/adm_btn.js?v=20230904 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:30:43 +0900] "GET /portfolio/admin/js/admin_ship.js?v=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:31:06 +0900] "POST /portfolio/admin/view/idck.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:31:28 +0900] "POST /portfolio/admin/view/idck.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:32:03 +0900] "POST /portfolio/admin/view/admin_join.do HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:32:04 +0900] "GET /portfolio/admin/view/index.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:32:11 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:32:50 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:46:26 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:46:29 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 500 3795
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:47:17 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2023:23:57:43 +0900] "POST /portfolio/admin/view/ad_loginok.do HTTP/1.1" 404 825
